label,corrected_text
1,Można się bać sukcesu Ja na pewno porażki Strach przed nią hamuje mnie jak wielki głaz przywiązany do ciała Już dawno powinienem zacząć sprzedawać ilustracje zacząć z fotografią itd Ale sama myśl i tym że to nie wyjdzie mnie przeraża Bo wtedy żaden plan mi nie pozostanie
1,W pracy cisza Gdy ilustruje zdecydowanie spokojna muzyka w tle
1,Lets dig deep
1,To za ten triumf w Iranie
1,Niesamowite jak Putin owinął sobie zachodnich populistów wokół palca
1,Fakt Moi rówieśnicy wyglądają zmarnowanie jak ci na dole Tylko że ja wyglądam jak ten którego tu wyzywają
1,First thing they implemented arę Rafalike grunts
1,Chwalisz mnie czy obrażasz
1,coś ostatnio cicho o aktach Epsteina czyżby grożenie apokalipsą się udało
1,Niby tylko zawieszenie broni a oszczędności w ETFach poszły w górę jak pojebane
1,Dobra jak to przekupne nieznające się geje by powiedzielilets do this Przesłuchałem wszystkich skrótów i szkoda że dopuścili kryminalistów bo poziom wydaje się być bardzo wysoki Szczególnie porównując do marnego zeszłego roku Teraz alfabetycznie słucham w całości 1
1,Gruzja bezpośrednia konkurencja Armenii ale brzmi taniej i trochę sztucznie Armenia to fun a tutaj to trochę wszystko wymuszone i dziwne 410
1,Francja kolejny musical i przez to że lecę alfabetycznie to mam porównanie I choć subiektywnie mi się to tak sobie podoba to obiektywnie jest to muzycznie lepsze trochę irytujące ale nie ma się do czego przyczepić Ja wolę pozytywne musicale a dostaje dwa upiorne 710
1,Taka kurtka to najlepsza rzecz na świecie wcześniej byłam praktycznie uwięziona w domu w zimę mój organizm ma problem grzać się sam niewydolność serca żylna a ostatnią zimę miałam cudowną aktywną z bajkowymi widokami
1,Najlepszy prezent jaki dostałam ever dostałam od ojca uwu
1,Ta sprawa jest tak skandaliczna dobrze że biskup się włączył Zupełnie mniejsza o wątek aborcji pacjenci powinni mieć PRAWO do dzielenia się informacjami o lekarzu tak długo jak nie zmyślają kłamstw i go nie oczerniają Na małych pacjenckich grupkach ludzie dzielą się 14
1,charakter sposób bycia nam najbardziej odpowiadają Gdyby ujawnić wszystkie informacje jakimi na takich grupach się dzieliłam to chyba powinnam według próbujących skazać Weronikę przesiedzieć dożywocie za kratkami XD a wszystko pisane w dobrej wierzę i z ogromnym
1,szacunkiem do danego lekarza w większości ich polecałam ale pisałam też co było lub może dla kogoś być wadą może i deal breakerem
1,Tu się ciągle coś psuje v Ja mam problem z DMami nie wszystkie czaty widzę ale jak wejdę przez profil to normalnie widzę i mogę odpisać z telefonu nie działa zmiana ikonki ostatnio zmieniałam na testa z komputera i tam działało A kiedyś twitter był prawie niezniszczalny
1,Dosłownie jak wywalało messengera czy rzadziej discorda to ludzie się tutaj przenosili i robiło się żywiej twitter przed Muskiem tak mega fajnie działał
1,Ostatnio tu cisnęłam trochę autystycznego samorzecznictwa i odbiór był różny w mniejszej ale wyraźnej części negatywny temat neuroróżnorodności ciągle budzi emocje i kontrowersje Teraz kiedy dotarły przerażające newsy o eutanazji niepełnoletniego chłopca z powodu 1
1,powolutku uczę się zdrowych mechanizmów regulacyjnych powolutku się odmaskowuję co znacznie zmniejsza napięcie Aktualnie życie jest dobre
1,Oczywiście te samorzecznicze treści to nie będą kilometrowe wylewy świadomości XD Ale potrzebowałam to wszystko z siebie wyrzucić Podziwiam jeśli ktoś to przeczytał Jeśli tak to bardzo mi miło to kochane To bardzo szczególny dla mnie temat
1,Dosłownie Czasem odnoszę wrażenie że mieszkam w innej Polsce niż ci patrioci wychwalający ją pod niebiosa jakby to była kraina mlekiem i miodem płynąca Ogromnym plusem na pewno jest bezpieczeństwo ale za to zarobki wciąż są żenujące jak chcesz uczciwie pracować xdd
1,Napisałam o narcyzach Ty typie widzisz różnicę między jakimś cwaniaczkami z osiedla o których napisałeś tu lub niżej a narcyzem
1,Tylko że ona wygląda coraz lepiej xdd Alexa jest dosłownie czarująca
1,Dla mnie naprawdę małe piersi to takie że masz problem znaleźć sobie stanik Ja mam dokładnie takie jak te pierwsze w lewym górnym rogu i tak mam ten problem Mam kompleksy ze względu na biust tylko dlatego że czuję się pomijana przez firmy bieliźniane XD
1,Kobiety nienawidzą miłych hurr durr Ja dawałam szansę miłym i zwykłym chłopakom a potem się okazywało po czasie że również są toksycznymi niedojrzałymi emocjonalnie kłamcami ale potrafią to ukrywać przez jakiś czas
1,Tanie marki kradną od drogich Nowe nie znałam
1,Warto też zaznaczyć że to niby 9k to tak naprawdę 64k netto xddd
1,Jak znam życie to pewnie pośrednik jeszcze robi na czarno i nie płaci podatku
1,On odpowiada na grafikę a ona na jego odpowiedź
1,Też sobie kupiłam przepiękna jest a do tego mi się sprawdza Idealna do takiego dziewczęcego i świeżego makijażu
1,2 Płacisz za czas pracy za sztukę rzemieślniczą za jakość tkanin za najlepsze wełny jedwab czy skóry Ciuchy dopasowują się do ciała a nie odkształcają a dodatkowo starczają na lata a nawet i dekady i można je odsprzedać z zyskiem
1,Alimenty dostałam ale tatusiowi jak odjebało 17 lat temu tak mu zostało do dzisiaj Oparcie Ojciec nastawił pół rodziny przeciwko mamie i mnie Dodam że miałam 13 lat jak nas zostawił więc chuja byłam winna Chodzi mi tylko że takie sytuację się zdarzają i są przykre
1,Mój stary katolik co zawsze klękał wieczorem i rano do pacierza i przepytywał mnie z kazania w kościele spierdolił z kochanką młodszą o 20 lat xddd jeszcze dodam jak on to pierdolił jaką rodzina jest ponad wszystko Teraz nowej żonie przepisuje swoje mieszkanie zamiast mnie xd
1,I pewnie dlatego są takie hot
1,Nie nie są produkowane w Azji xd To nie jest Zara czy Reserved
1,Dlatego właśnie napisałam ironicznie że chwała patriarchatowi Mężczyźni zgotowali taki los mężczyznom
1,Kurwa czytam te komenatrze ile powinno się dawać na śluby i cieszę się że nikt mnie nie zaprasza na wesela
1,Tak zgadzam się Polecam czytać ze zrozumieniem i nie upierać się kiedy nie ma się racji Autorka myślę że wie lepiej na co odpowiada
1,Tak bo kupił ją na wakacjach na bazarku w Krynicy morskiej XDDDD tak samo jak okulary Gucci XD
1,nie wierzę ze muza fagaty jest w tym momencie lepsza niż bts
1,ogur
1,kto też kampi w internecie żeby się w końcu dowiedzieć czy masza żyje
1,nmg
1,palę buha wielkoluda
1,kościół pod wezwaniem świętego papużego
1,zycze powrotu do ustawek bo chociaż w tym był dobry
1,hahahahha
1,pies taki ładny ze go wet na story wstawia
1,odkryto dzisiaj że w rzece jest woda
1,lowkey them
1,ej nienawidzę zjebów co wymuszają na rondzie a potem jadą kurwa 30 na godzinę albo 20
1,kanye jest dosłownie najbardziej skłonny jej pozwolić tak wygladac bo jest pierdolnięty bardziej niż kim więc o czym my mówimy xdff
1,będę piec lotus sernik
1,boże muszę sobie zrobić doczepy
1,kto też jest kierownikiem działu i ogląda tutoriale na tiktoku jak zarzadzac ludźmi XD
1,ciekawe czy to działa dalej MastercardGrazWOSP
1,close your eyes be silent
1,sjema zabrze cr
1,preferowałabym piątek na dziś
1,może i nie mam dużo kasy ale przynajmniej nie jestem konsultantka raypatha
1,kto też tak ma ze musi zlozyc pc jak ram kosztuje milion juanów
1,kto też się wlasnie dowiedział ze w saperze z windowsa żeby nie zdehnac szybko trzeba klikać dwoma przyciskami myszy na przemian i was today years old
1,nie nadaję się do pracy w której stare pizdy się śmieja z mojego wyglądu
1,im więcej wypłaty tym mniej wypłaty
1,kocham jak duży suv puszcza mn na rondzie albo stoimy w korku i automatycznie staje się ślepa bo jak stoi za mną to nic nie widzę xd
1,sponsorem dzisiejszej walki jest nerd vpn
1,żyje ktus
1,nienawidzę prcy
1,ej chce mi ktoś pomoc w pracy xD wyslalabym linka na yt i dacie lajka tylko
1,najgorsze w czystości sa chyba nawracające sny o ćpaniu
1,brzydkie kobiety tak zazdrosne szmaty
1,już nie czuję nic żadnych problemów zmartwień jestem znieczulona
1,boję się dać rt ale chuj tam
1,nawet mi ciebie nie żal zaglodz się
1,ja się go pytam co to retarder w tirze a on mówi taka mała martyna
1,związek dwóch autystyków polega na wzajemnym wyzywaniu się od zjebów i retardow
1,ale wspólne stimowanie też jest fajne mamy dosyć podobne stimy
1,ale ja stimuje więcej i lubię go wkurwiać powtarzając w kolko słowa które mi weszły w łeb ale mi go trochę szkoda ze się tak nad nim znęcam ale jakby jakiś neurotypowy probował to bym zajebała
1,heterosy to sa pierdolone bezguścia
1,czy hetero baby w ogóle lubią mezczyzn
1,dorosły człowiek a zachowanie godne gówniarza z podstawówki hehe ale im dopiekłem sprzedałem im wieprzowinę
1,nie atrakcyjna ale ładna po prostu ale dużo jest pięknych nie umiem wybrać
1,ciagly rollercoaster dzisiaj na górze a jutro pod mostem
1,wiecie jaki tramadol jest pojebany jak pierwszy i ostatni raz w życiu wzielam to pisałam do chłopa i zaczynałam pisać na kilka sekund znoddowalam i wyslalam i jak się wybudzałam to widziałam ze napisałam jakieś fhrjxnxksj i tak co kilka minut
1,myśle co bardziej się opłaca kupić androida czy ip help
1,Do zobaczenia na pierwszej lekcji mała manipulatorko jak ja za nimi tesknilam
1,mój chłop wqlczyl z moim koputerem dk 2 dni i wygrał ta walkę za każdym razem
1,dodałam ksiazki bo potrzevuje pieniazkow proszę o rt
1,prawdopodobnie będę dzisiaj dodawać ksiazki kto4e mam na sprzedanie na vinted kilka już jest rąk więc zapraszam i jak dodam nowe to dam znaclt3 vinted 0zuza0 proszę o rt
1,duma ogromba
1,najgorsze jest to ze zaczelabym kwestionować swoją wiedzę xd
1,moja duma największa ofkWS
1,dosłownie jestem tak dumna z tej dziewczynt co grała małe koncerty a teraz na arenach będzie grać zasługuje na świat
1,thats to real
1,nikt się tego nie spodziewał
1,duma
1,polecam bardzo pierwszy raz zjadłam od chłopaka i teraz tylko tak jem
1,imo zajebiste jest polaczenie algierskiego z keczupem dont change my mind
1,Parodiowanie akcentu białych mniejszości to nie jest rasizm tylko ksenofobia jak już ale w Ameryce jest problem z rasizmem powiązany z ksenofobią często od razu a u nas nie więc u nas ksenofobia jest porównywalnym problemem co rasizm w USA przez inną kulturę i historię
1,O dzięki dobra w sensie ja nie mam jak pojechać sama bo rzeczy gdzieś trzeba zostawić np i z kimś pojechać bo mi chodzi właśnie o przed i po a nie sam koncert bezpieczeństwo między innymi
1,Jest taki mięciutki dosłownie się topi na ustach kocham go
1,Udało na szczęście
1,Nie będę robić ludziom zdj mordo ale chłopak wiki
1,Druzgocące jest w Piśmie Świętym gdy Bóg opowiada o swojej miłościo swoich zamiaracho swoich pragnieniachmieszających się z żalem i przykrością z powodu odrzucenia Go mienie Go za naiwnego głupca lub nicość igranie z Nim i robieniem sobie krzywdy grzechem desperacja
1,Dowiedziałam się że mój syn w podróży do szkoły w autobusie modli się Różańcem
1,A światcóż młodziutki
1,ludzie urodzeni po drugiej połowie lat 80 zaczynają wchodzić w 40 Jak nic zaraz będę miała 50 lat Kiedyś to było takie odległe że aż nierealne
1,dziś mowa o edukacji w Polsce na antenie to chociaż 20 minut poświęcę lekturze dla umysłu
1,A nie Kompleta
1,Nauczyciele których wspominam jako wyjątkowych na mojej drodze edukacyjnej
1,Wszystkich wspominam bardzo dobrze wszystkim jestem wdzięczna za ich ciężką pracę i przykro mi jest że tak małym potwierdzeniem ich trudu edukacyjnego i wychowawczego jestem taka gleba no trudno czasu nie cofnę
1,Ale od początku moją edukację dzielę na 4 etapy o 5 tylko marzyłam ja do szkoły lgnęłam szkołę ceniłam i jeszcze przed rozpoczęciem swojego czasu bardzo upraszałam się o zaprowadzanie mnie do szkoły wraz ze starszą siostrą
1,w majtkach jesienią uciekałam tacie i biegłam za mamą odprowadzającą siostrę do szkoły a za mną biegł tato w kalesonach a w domu dostawałam w tyłek a następnego dnia biegłam znowu czasem mi się udało i to mi zistało aż do czasu problemów społecznych
1,W klasach 03 lubiłam bardzo swoją wychowawczynię panią Jolę oraz księdza Proboszcza który był też moim katechetą to dzięki temu Księdzu nauczyłam się dostrzegać Obecność Boga dokoła siebie zabierał nas w teren w poszukiwaniu śkadów Boga to od tego czasu
1,łaziłam po polach i lasach rozmawiając z Bogiem Ksiądz Proboszcz gdy przejeżdżał obok naszego domu często wstępował i zawsze zostawiał garść cukierków i jakiś pieniążek na dzieci koniec przerwy CDN
1,No I ten Kapłan zmarł nagle I mój dziadek wtedy też zmarł dzień po dniu I tak doczekaliśmy wiosny bodajże 2004 Roku Pańskiego Przysłano nowego Proboszcza Koniec 6 klasy podstawowej był koniec też etapu drugiego w mojej edukacji egzamin też zmiany
1,Przez te trzy lata dojeżdżania do szkoły gminnej moją wychowawczynią była cudowna kobieta pani Wójcik Dusza artysty w ciele biologa wiele wspólnie klasowo przeżyliśmy wtedy pierwszych niezwykłych momentów w grupie tak Szkoła w której się uczyłam była pokoleniowa
1,Uczyli nas nauczyciele którzy często kształcili też chociaż jednego z rodziców a nawet innych nauczycieli pracujących wraz z nimi tak jak to w moim przypadku było Wtedy też pierwszy raz oceniono mój głos podczas śpiewu i zaczęłam się do tego bardziej przykładać
1,Wcześniej żyłam w klimacie braku oceny mojej urody czy zdolności Śpiewaliśmy w grupie Wiele śpiewałam w domu ale nikt tego nie oceniał Mówiono że nam ładną sukienkę a nie że jestem ładna czy ładnie wyglądam raczej oceniano moje zachowanie Jako pożądane lub nie
1,A podczas tych trzech lat szkolnych zaczęto mnie oceniać pod różnymi kwestiami nawet dojrzałości płciowej na bilansie dziecka Stres niepomierny Także pan od Muzyki pan Mróz już po stronie wieczności również uznał że mam talent do śpiewu
1,Wcześniej to publicznie tylko Ksiądz Stanisław podarował mi zaśpiewanie wraz z najlepszą wtedy koleżanką Psalmu podczas Mszy Pierwszej Komunii Świętej Więc śpiewałam
1,Poza tym to także Religię zaliczałam oceną wzorową I do celu zmieniono nam Księdza Proboszcza oraz Katechetę jednocześnie Życie przestało być łatwe Za kadencji tego Proboszcza nauczyłam się katechizmu Tajemnic Różańcowych i innych Prawd Wiary i przyjęłam Bierzmowanie
1,Pojawił się u mnie w domu Nowy Testament i Katechizm Kościoła Katolickiego Czytałam i nic Ale Ksiądz wymagał słuchania i zapamiętywania Niedzielnej Ewangelii Na pierwszej albo gdzieś zaraz kolelejnaj lekcji od razu mnie do odpowiedzi zawezwał Pewnie widział jaki płacz na
1,Pogrzebie zrobiłam i chciał się na usługę zapisać Pyta o podanie mego pięknego zeszytu do Religii wręczam zdziwko i udawany brak zachwytu Ale pyta mnie też o niedzielne kazanie Patrzę jak na jakieś gotyckie pozamykane wrota teraz myślę że może ten nowy Ksiądz
1,przygotował się do zajęć z młodzieżą i prześledził karierę moich ocen celujących ale teraz mam 32 zimy a nie 13 czy 14 chociaż nie niewiele się poprawiło i mówię z zadowoleniem że przecież je zna bo mi je sam we własnej osobie głosił A potem to już szybko jakoś
1,coś no że ze trzy razy akurat na czas jedzenia przyszłam na Plebanię Ale na Plebanii było zbiegowisko młodzieży wtedy ja to tam nic choć nastąpiła lekka faworyzacją obustronna Aż nawet zaczęłam interesować się życiem zakonnym i rozpatrywać taką możliwość życia
1,Był to trzeci etap gimnazjum Tam bardzo dobrze wspominam panią polonistkę zasad pisowni się nie nauczyłam ale lektury czytałam wszystkie pisałam bardzo dobre wypracowania zapewne z powodu zadawanych ciekawych tematów wzorowo w opinii pani recytowałam wiersze
1,A nauczyciele mnie wspierali Najkorzystniej i najmilej wspominam Siostrę Alicję Służebniczkę Najświętszej Maryi Panny pełna ciepła pokoju i Bożej Radości przyjaźniłyśmy się w jakimś możliwym stopniu
1,oraz panią profesor od historii wzbudziła we mnie odpowiedzialność za poznanie historii panią profesor od mojej profilowej geografii pani wykładała z takim oddaniem że często kończyła lekcję z wypiekami na twarzy pana od PO wyszkolił nas nawet w godnym i odpowiedzialnym
1,umieraniu podczas wypadku zbrojeniowego Zdarzyło się przy tym że w liceum przeżyłam odejście do Domu Ojca babci przeprowadziłam się do miasta i zmieniłam Parafię Może trochę przydługawo i odbiegając co rusz od tematu ale teraz wszystko o mojej edukacji wiadomo
1,prawie mnie ziemniaki w pracy zabiły
1,65 pity i gwarant but i gotta stay strong for nicole and lohen im sorry linnea
1,będę mieć mega zajebiste buty do jaxa
1,brat do mn podchodzi możesz wziac te włosy z naszego krzesła and i was never so confused az mi się przypomniało ze leży tam ahoge flinsa
1,no więc obejrzalxm wlasnie tadc
1,kocham fakt ze mam tego jednego zęba tak do przodu wyjebanego ze wygląda jak kieł jak się delikatnie uśmiecham
1,od trzech dni leże jem i pije wino nie zdarzyło się to od dawna trochę mnie popierdoli zaraz ale czasem tak trzeba
1,pokonały mnie rożnokolorowe warstwy jeśli znowu będę chcieć cospic postać z gradientem na włosach wybijcie mi to z głowy
1,kilka dni temu mowilxm ze flins będzie łatwy do stylizacji i was SO wrong
1,troskliwe misie
1,ROBIMYYY
1,trzebaby go obciac i już n będzie na mystery wtedy
1,ja zawsze
1,słuchaj jak mnie pozadnie młotkiem w łeb pierdolniesz
1,oczywiście
1,ja ci pożycze moje włosy a ty mi outfit deal
1,kusi lyney c4 ale chronicled to skam i pewnie nawet gwaranta nie uzbieram ale z drugiej strony skoro lyney tam jest to chuj wie kiedy będzie miał normalny rerun
1,popierdoleniec w domu
1,czm to lajkujecie w dupie mam wielkanoc to jest inside jokę z wycieczki z besti
1,nie wierzę ze zgubilxm w pradze moje custom black stones szlugi i dokładnie wiem gdzie bo moment zgubienia ich się kurwa nagrał
1,praga bez kontekstu
1,Kupiłam jedne z ostatnich miejsc w pociągu i boję się że będę musiała wyganiać jakiś skurwysynów z mojego miejsca
